code,lat,long,Water T,pH,Cond,Turb,Chl,Secchi,Alkalinity,Ca,Mg,K,Na,Si,Cl,NO2,NO3,SO4,PO4,TN,TP,DO %,DO,Carbonate,Silicate,DOC,Waterdepth,MaxDepth,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Slope_100,Wshd_area,Elevation,area_sub-Basin,area_waterbody,MAT,P season,MAP,T season,Connectivity,% aquatic habitat,Ecoregion,Freshwater ecoregion,TRI,tri1,lanfdorm,geology,land cover,HFP2009,Bare Desert,Barren Tundra,Cold Grassland,Cool Grasses and Shrubs,Cool Southern Hemisphere Mixed Forests,Corn and Beans Cropland,Crops and Town,"Crops, Grass, Shrubs",Dry Woody Scrub,Evergreen Broadleaf Forests,Evergreen Forest and Fields,Fields and Woody Savanna,Forest and Field,Glacier Ice,Grass Crops,Hot and Mild Grasses and Shrubs,Inland Water,Low Sparse Grassland,Montane Tropical Forests,Rice Paddy and Field,Savanna (Woods),Sea Water,Seasonal Tropical Forest,Semi Desert Shrubs,Shrub Deciduous,Shrub Evergreen,Southern Hemisphere Mixed Forest,Succulent and Thorn Scrub,Tropical Degraded Forest,Tropical Rainforest,Upland Tundra,Urban,Wooded Wet Swamp,Woody Savanna,Barren,Grassland and shrubs,Forests,Savanna,Rainforest,Wetland,Agriculture,Crops and town,Urban,Inland water
Brdb-SA_EclptsLg,-17.58191389,-67.515025,,6.5,4850,,,,,178,58.23,644,22.5,0.7038,914.067,,0.0287,518.342,,,0.03,,,,,,,,17.14,29.47,2.01,26.14,,3.00,1.50,681.34,0.40,0.62,85947.70,3734,183.9,65.4,88,96,378,2050,0.0084,2.578660979,Central Andean dry puna,337,2.625,0.429227,4,2,Upland Tundra,13.79971027,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0.15,0,0,0,0,12.89,0,11.86,0,0,0,0,67.92,0,0,0.08,0,96.34,0.15,0.08,0,0,0,0,0,3.41
Brdb-SA_FldPlPnP,-17.3261,-68.61903333,,6.5,3580,,,,,112.7,19.63,529,15.2,5.336,783.291,,0.4433,271.551,,,0.1281,,,,,,,,,,,,,,,,,,,3812,42.5,37.6,86,103,390,2549,0.0136,2.361210299,Central Andean dry puna,337,2.25,0.311666,4,2,Inland Water,6.006078243,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,27.09,0,65.38,0,0,0,0,3.65,0,0,0,0,96.93,0,0,0,0,0,0,0,3.03
Brdb-SA_HncrmDry1,-17.666,-67.48318333,,7.5,13500,,,,,359.3,161.145,1770,7.9,0.8517,2225.753,,0.0176,1732.713,,,0.2683,,,,,,,,,,,,,,,,,,,3731,183.9,65.4,91,97,376,2059,0.0084,2.578660979,Central Andean dry puna,337,0.75,0.415702,4,2,Cold Grassland,12.61259842,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0.1,0,0,0,0,5.26,0,14.31,0,0,0,0,76.63,0,0,0.08,0,97.44,0.1,0.08,0,0,0,0,0,2.39
Brdb-SA_HncrmDry2,-17.66081667,-67.48108333,,7.5,6460,,,,,261.8,91.33,788,37,14.866,1022.406,,0.0858,925.877,,,0.1585,,,,,,,,,,,,,,,,,,,3731,183.9,37.6,91,97,376,2059,0.0084,2.578660979,Central Andean dry puna,337,1.125,0.415702,4,2,Cold Grassland,12.61259842,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0.1,0,0,0,0,5.61,0,14,0,0,0,0,76.5,0,0,0.08,0,97.38,0.1,0.08,0,0,0,0,0,2.43
Brdb-SA_LagHñmrc,-16.56786667,-68.99458333,,,2150,,,,,103.5,40.43,227,18.8,2.153,294.876,,0.0458,281.567,,,0.1098,,,,,,,,8002.51,1456.08,4.59,893000.00,,1.00,111.60,541.15,19099.30,-1.00,56588.10,3815,8363.6,91.1,83,93,676,2049,0.0024,20.35484013,Central Andean wet puna,337,0.875,0.295707,1,2,Inland Water,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1.92,37.12,0,0,0,0,0,0,52.43,0,0.29,0,0,0,0,0.05,0,0,0.07,0,62.79,0,0.07,0,0,0,0,0,37.12
Brdb-SA_LagnChrr,-22.52805,-67.64608333,,,548,,,,,31.43,1.97,65.8,9.7,42.18,21.226,,0.3509,154.452,,,0.0108,,,,,,,,,,,,,,,,,,,4396,95.1,62.6,45,148,50,3357,0.004,4.893870007,Central Andean dry puna,339,9.375,0.243118,6,4,Bare Desert,8,42.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,37.9,0,0,0,0,17.46,0,0,0.09,42.21,55.36,0,0.09,0,0,0,0,0,2.36
Brdb-SA_LagnClrd1,-22.2416,-67.7428,,7.5,194000,,,,,263.8,542.4,41500,2900,36.44,45515.83,,0.0036,8995.748,,,4.736,,,,,,,,36.30,89.52,4.19,117.69,,3.00,3.20,,-1.00,1.02,1371.50,4288,50.1,112.2,49,152,49,3367,0.0004,1.511803643,Central Andean dry puna,337,0,0.23908,6,4,Inland Water,0.526984036,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,38.93,0,0,0,0,39.83,0,0,0,15.86,78.76,0,0,0,0,0,0,0,5.4
Brdb-SA_LagnClrd2,-22.2416,-67.7428,,5,2480,,,,,12.78,4.347,486,34.9,39.11,405.378,,3.469,253.13,,,0.741,,,,,,,,36.30,89.52,4.19,117.69,,3.00,3.20,,-1.00,1.02,1371.50,4288,50.1,112.2,49,152,49,3367,0.0004,1.511803643,Central Andean dry puna,337,0,0.23908,6,4,Inland Water,0.526984036,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,38.93,0,0,0,0,39.83,0,0,0,15.86,78.76,0,0,0,0,0,0,0,5.4
Brdb-SA_LagunHednd,-21.5697,-68.03448333,,,14400,,,,,169.8,116.98,1960,171,36.23,2629.514,,0.638,1540.07,,,0.7656,,,,,,,,,,,,,,,,,,,4120,34,88.7,53,172,54,3251,0.0032,1.824303552,Central Andean dry puna,337,2.375,0.414508,6,4,Bare Desert,8,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,53.23,0,0,0,0,23.98,0,0,0,22.55,77.21,0,0,0,0,0,0,0,0.16
Brdb-SA_Lagunvrd,-22.8079,-67.76826667,,,3160,,,,,67.07,29.39,458,22.5,35,673.373,,0.1474,185.164,,,0.1235,,,,,,,,9.72,19.85,1.80,52.35,,3.00,5.40,,-1.00,1.62,848.80,4323,18.1,62.6,48,167,45,3258,0.0008,1.382881667,Central Andean dry puna,339,0,0.130005,6,4,Shrub Deciduous,0.852497637,36.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,40.77,0,0,0,0,20.84,0,0,0.09,36.16,61.61,0,0.09,0,0,0,0,0,2.12
Brdb-SA_LgBS.RJU1,-17.46771667,-68.54858333,,,351000,,,,,2123,225.6,63300,78,4.506,97611.045,,0.0996,4123.018,,,0.0743,,,,,,,,,,,,,,,,,,,3792,145.5,59.4,86,105,376,2599,0.0136,2.361210299,Central Andean dry puna,337,4.875,0.35739,4,2,Inland Water,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,10.52,0,60.46,0,0,0,0,25.08,0,0,0,0,96.06,0,0,0,0,0,0,0,3.9
Brdb-SA_LgBS.RJU2,-17.46771667,-68.54858333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3792,145.5,59.4,86,105,376,2599,0.0136,2.361210299,Central Andean dry puna,337,4.875,0.35739,4,2,Inland Water,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,10.52,0,60.46,0,0,0,0,25.08,0,0,0,0,96.06,0,0,0,0,0,0,0,3.9
Brdb-SA_LgnDsgdr,-16.98438333,-68.78646667,,,3830,,,,,302,37.26,320,18.1,19.877,588.369,,1.3629,579.394,,,0.1126,,,,,,,,,,,,,,,,,,,3823,48.3,102.2,82,99,497,2387,0.0064,0.678328892,Central Andean dry puna,337,3.75,0.31862,1,2,Semi Desert Shrubs,4.100739002,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,62.25,0,17.77,0,0,0,0,6.98,0,0,0,0,99.86,0,0,0,0,0,0,0,0.15
Brdb-SA_LgS(UUr)1,-17.74518333,-67.30683333,,,7590,,,,,371.5,56.64,939,43.6,6.117,1511.552,,0.0034,934.878,,,0.02,,,,,,,,,,,,,,,,,,,3724,152.3,68.7,93,97,406,2235,0.002,11.41319119,Central Andean dry puna,337,1,0.307504,3,4,Upland Tundra,14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0
Brdb-SA_LgS(UUr)2,-17.74518333,-67.30683333,,,7590,,,,,371.5,56.64,939,43.6,6.117,1511.552,,0.0034,934.878,,,0.02,,,,,,,,,,,,,,,,,,,3724,152.3,68.7,93,97,406,2235,0.002,11.41319119,Central Andean dry puna,337,1,0.307504,3,4,Upland Tundra,14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0
Brdb-SA_LgS(UUr)3,-17.74518333,-67.30683333,,,7590,,,,,371.5,56.64,939,43.6,6.117,1511.552,,0.0034,934.878,,,0.02,,,,,,,,,,,,,,,,,,,3724,152.3,50.9,93,97,406,2235,0.002,11.41319119,Central Andean dry puna,337,1,0.307504,6,2,Upland Tundra,14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0
Brdb-SA_NLgPppln1,-18.56863333,-66.95296667,,,2270,,,,,116,29.41,187,16.6,23.255,204.438,,0.1612,561.243,,,,,,,,,,,,,,,,,,,,,,3701,81.3,183.9,97,114,313,2947,0.0004,37.16105803,Central Andean dry puna,337,4,0.576425,6,2,Semi Desert Shrubs,12.00015163,5.58,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,0,0.1,0,0,0,0,29.07,0,3.84,0,0,0,0,39.16,0,0,0.76,5.58,80.21,0.1,0.76,0,0,0,0,0,13.32
Brdb-SA_NLgPppln2,-18.56863333,-66.95296667,,,2270,,,,,116,29.41,187,16.6,23.255,204.438,,0.1612,561.243,,,,,,,,,,,,,,,,,,,,,,3701,81.3,145.5,97,114,313,2947,0.0004,37.16105803,Central Andean dry puna,337,4,0.576425,6,2,Semi Desert Shrubs,12.00015163,5.58,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,0,0.1,0,0,0,0,29.07,0,3.84,0,0,0,0,39.16,0,0,0.76,5.58,80.21,0.1,0.76,0,0,0,0,0,13.32
Brdb-SA_RDB(ppl),-17.3132,-68.61775,,,1250,,,,,71.11,14.801,134.8,9.3,19.717,181.272,,1.347,131.157,,,0.0771,,,,,,,,,,,,,,,,,,,3821,42.5,68.7,86,104,393,2556,0.0136,2.361210299,Central Andean dry puna,337,3.25,0.448422,4,2,Shrub Deciduous,6.013498306,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,28.15,0,64.75,0,0,0,0,2.87,0,0,0,0,97.03,0,0,0,0,0,0,0,2.93
Brdb-SA_RDesagdr1,-18.35068333,-67.04055,,6,3870,,,,,180,48.57,407,15.9,5.424,595.01,,0.0018,640.654,,,,,,,,,,,,,,,,,,,,,,3701,41,27.44070053,91,108,336,3087,0.0056,8.442432097,Central Andean dry puna,337,0.625,0.536662,6,2,Inland Water,6.641028404,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0.09,0,0,0,0,36.01,0,18.07,0,0,0,0,38.12,0,0,0.32,0,92.63,0.09,0.32,0,0,0,0,0,6.92
Brdb-SA_RDesagdr2,-18.35068333,-67.04055,,6,3870,,,,,180,48.57,407,15.9,5.424,595.01,,0.0018,640.654,,,,,,,,,,,,,,,,,,,,,,3702,41,27.44070053,91,108,336,3087,0.0056,8.442432097,Central Andean dry puna,337,0.75,0.536662,6,2,Inland Water,6.641028404,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0.09,0,0,0,0,36.04,0,18.14,0,0,0,0,38.09,0,0,0.31,0,92.69,0.09,0.31,0,0,0,0,0,6.85
Brdb-SA_RDsg:dfD,-16.64406667,-68.96798333,,,2450,,,,,66.13,49.11,284,23.2,1.993,388.13,,0.0105,364.476,,,,,,,,,,,,,,,,,,,,,,3827,87.7,87.7,81,93,636,2167,0.0024,20.35484013,Central Andean wet puna,337,1,0.49285,1,2,Semi Desert Shrubs,5.371116161,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0.09,24.7,0,0,0,0,0,0,62.06,0,0.07,0,0,0,0,1.33,0,0,0.07,0,75.25,0,0.07,0,0,0,0,0,24.7
Brdb-SA_RDsg:NN.,-16.8787,-68.79683333,,,2100,,,,,91.96,35.66,277,16.6,1.3657,303.551,,0.3163,321.051,,,0.0103,,,,,,,,,,,,,,,,,,,3821,258.5,52.4,81,98,526,2344,0.0064,0.678328892,Central Andean dry puna,337,1.625,0.423077,1,2,Cold Grassland,8.281452179,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,56.53,0,10.84,0,0,0,0,6.99,0,0,0,0,99.86,0,0,0,0,0,0,0,0.15
Brdb-SA_RDsg:P(),-18.3736,-67.04775,,5.75,5100,,,,,226,66.45,507,20.3,13.186,766.836,,0.0049,881.824,,,,,,,,,,,,,,,,,,,,,,3701,41,4.861269951,91,112,333,3059,0.0056,8.442432097,Central Andean dry puna,337,0.25,0.362508,6,2,Upland Tundra,13.78853035,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0.1,0,0,0,0,35.15,0,16.75,0,0,0,0,38.57,0,0,0.43,0,91.16,0.1,0.43,0,0,0,0,0,8.27
Brdb-SA_RDsgdaPK,-17.21141667,-68.67813333,,,2000,,,,,81.4,36.35,220,16.6,1.8632,289.453,,0.4035,279.932,,,0.0198,,,,,,,,,,,,,,,,,,,3811,212.3,37.6,85,101,424,2524,0.0016,0.133967064,Central Andean dry puna,337,2.25,0.334446,6,4,Shrub Deciduous,7.258657455,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,48.13,0,46.54,0,0,0,0,0,0,0,0,0,98.69,0,0,0,0,0,0,0,1.3
Brdb-SA_RDsgdrBC1,-18.19896667,-67.0862,,4.5,2380,,,,,89.03,24.43,328,20.3,5.273,445.173,,0.3022,230.95,,,0.0291,,,,,,,,,,,,,,,,,,,3707,171.4,87.7,85,101,350,3152,0.0056,8.442432097,Central Andean dry puna,337,0.625,0.585022,4,2,Inland Water,8.257024765,0,0,1.89,0,0,0,0.14,0,0,0,0,0,0,0,0,0,16.13,0,0.32,0,0,0,0,21.58,0,11.66,0,0,0,0,48.15,0,0,0.1,0,83.28,0.32,0.1,0,0,0,0.14,0,16.13
Brdb-SA_RDsgdrBC2,-18.19896667,-67.0862,,4.5,2380,,,,,89.03,24.43,328,20.3,5.273,445.173,,0.3022,230.95,,,0.0291,,,,,,,,,,,,,,,,,,,3708,171.4,68.7,85,101,350,3152,0.0056,8.442432097,Central Andean dry puna,337,0.375,0.585022,4,2,Inland Water,8.257024765,0,0,1.88,0,0,0,0.14,0,0,0,0,0,0,0,0,0,16.14,0,0.32,0,0,0,0,21.64,0,11.68,0,0,0,0,48.05,0,0,0.1,0,83.25,0.32,0.1,0,0,0,0.14,0,16.14
Brdb-SA_RDsgdrBC3,-18.19896667,-67.0862,,4.5,2380,,,,,89.03,24.43,328,20.3,5.273,445.173,,0.3022,230.95,,,0.0291,,,,,,,,,,,,,,,,,,,3708,171.4,68.7,85,101,350,3152,0.0056,8.442432097,Central Andean dry puna,337,0.625,0.585022,4,2,Inland Water,8.257024765,0,0,1.9,0,0,0,0.14,0,0,0,0,0,0,0,0,0,16.13,0,0.32,0,0,0,0,21.56,0,11.56,0,0,0,0,48.27,0,0,0.1,0,83.29,0.32,0.1,0,0,0,0.14,0,16.13
Brdb-SA_RDsgdrEB1,-17.6014,-67.52903333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,183.9,183.9,88,98,370,2046,0.0084,2.578660979,Central Andean dry puna,337,2.25,0.542864,6,2,Upland Tundra,25,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0.15,0,0,0,0,10.58,0,12.33,0,0,0,0,71.03,0,0,0.08,0,96.24,0.15,0.08,0,0,0,0,0,3.52
Brdb-SA_RDsgdrEB2,-17.6004,-67.52866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,183.9,183.9,88,98,370,2046,0.0084,2.578660979,Central Andean dry puna,337,1,0.542864,4,2,Upland Tundra,18.78853035,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0.15,0,0,0,0,10.73,0,12.26,0,0,0,0,70.9,0,0,0.08,0,96.23,0.15,0.08,0,0,0,0,0,3.52
Brdb-SA_Rdt&NLPp,-18.55251667,-66.9962,,5.5,22900,,,,,833.5,209.8,2780,144,9.631,3867.941,,0.0137,3102.438,,,,,,,,,,,,,,,,,,,,,,3700,94.3,183.9,96,115,316,2996,0.0056,8.442432097,Central Andean dry puna,337,0.75,0.5625,4,5,Upland Tundra,4.344708443,5.58,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0.1,0,0,0,0,23.46,0,5.53,0,0,0,0,39.71,0,0,0.76,5.58,74.26,0.1,0.76,0,0,0,0,0,19.29
Brdb-SA_RioMauri,-17.29288333,-68.63476667,,,888,,,,,41.28,14.367,107.6,14.4,24.22,140.193,,0.0331,68.958,,,0.2012,,,,,,,,,,,,,,,,,,,3814,204.8,50.9,86,102,397,2551,0.0136,2.361210299,Central Andean dry puna,337,0.875,0.54126,4,2,Shrub Deciduous,13.05243301,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,33.49,0,60.95,0,0,0,0,1.06,0,0,0,0,97.29,0,0,0,0,0,0,0,2.66
